Single-Level_Breite_Wigner
Temp do meio:       +1.500000000000000e+03[K]
Massa do isotopo:   +2.360050000000000e+02

ene_val                 sig_val[radiation_xs]           psi                     x                   smr*gg                  chi1          

+9.000000000000000e+00 +6.941559365347779e-01 +4.643783419892603e-04 -4.708146439112053e+01 +1.243415894152918e+03 +2.949591863558164e-01 
+9.002000000000001e+00 +6.965099204626477e-01 +4.663178973628439e-04 -4.698486212623356e+01 +1.243276441976938e+03 +2.949265748854399e-01 
+9.004000000000001e+00 +6.988784270884187e-01 +4.682695282063007e-04 -4.688825996650556e+01 +1.243137036269043e+03 +2.948939742813276e-01 
+9.006000000000002e+00 +7.012615758150986e-01 +4.702333344380694e-04 -4.679165791191836e+01 +1.242997677003430e+03 +2.948613845374468e-01 
+9.008000000000003e+00 +7.036594872935318e-01 +4.722094170228148e-04 -4.669505596245384e+01 +1.242858364154322e+03 +2.948288056477687e-01 
+9.010000000000003e+00 +7.060722834388085e-01 +4.741978779851747e-04 -4.659845411809386e+01 +1.242719097695957e+03 +2.947962376062698e-01 
+9.012000000000004e+00 +7.085000874468864e-01 +4.761988204236989e-04 -4.650185237882031e+01 +1.242579877602595e+03 +2.947636804069309e-01 
+9.014000000000005e+00 +7.109430238114858e-01 +4.782123485250144e-04 -4.640525074461507e+01 +1.242440703848518e+03 +2.947311340437375e-01 
+9.016000000000005e+00 +7.134012183413364e-01 +4.802385675782794e-04 -4.630864921546002e+01 +1.242301576408023e+03 +2.946985985106800e-01 
+9.018000000000006e+00 +7.158747981776269e-01 +4.822775839898151e-04 -4.621204779133706e+01 +1.242162495255432e+03 +2.946660738017535e-01 
+9.020000000000007e+00 +7.183638918118077e-01 +4.843295052980220e-04 -4.611544647222814e+01 +1.242023460365084e+03 +2.946335599109572e-01 
+9.022000000000007e+00 +7.208686291036887e-01 +4.863944401885533e-04 -4.601884525811514e+01 +1.241884471711340e+03 +2.946010568322958e-01 
+9.024000000000008e+00 +7.233891412998167e-01 +4.884724985097221e-04 -4.592224414897999e+01 +1.241745529268578e+03 +2.945685645597778e-01 
+9.026000000000009e+00 +7.259255610521926e-01 +4.905637912881811e-04 -4.582564314480465e+01 +1.241606633011199e+03 +2.945360830874169e-01 
+9.028000000000009e+00 +7.284780224373177e-01 +4.926684307448917e-04 -4.572904224557104e+01 +1.241467782913620e+03 +2.945036124092315e-01 
